"","tve_user_id","ft_start","ft_end"
"531",15182894,2017-01-15,2017-01-22
"532",15184195,2017-01-15,2017-01-22
"533",15184505,2017-01-16,2017-01-23
"534",15192559,2017-01-16,2017-01-23
"535",15193194,2017-01-16,2017-01-23
"536",15198418,2017-01-16,2017-01-23
"537",15200593,2017-01-16,2017-01-23
"538",15215776,2017-01-17,2017-01-24
"539",15219011,2017-01-17,2017-01-24
"540",15219366,2017-01-17,2017-01-24
"541",10963242,2017-01-18,2017-01-25
"542",15237483,2017-01-18,2017-01-25
"543",15243256,2017-01-18,2017-01-25
"544",15248642,2017-01-19,2017-01-26
"545",15249320,2017-01-19,2017-01-26
"546",15259005,2017-01-19,2017-02-18
"547",15260322,2017-01-20,2017-01-27
"548",15595146,2017-02-14,2017-02-21
"549",15601301,2017-02-14,2017-02-21
"550",15224244,2017-02-16,2017-02-23
"551",15268701,2017-02-17,2017-02-24
"552",13851482,2017-02-18,2017-02-25
"553",15657734,2017-02-18,2017-02-25
"554",15668727,2017-02-19,2017-02-26
"555",15687244,2017-02-20,2017-02-27
"556",15691281,2017-02-20,2017-02-27
"557",15715104,2017-02-21,2017-02-28
"558",15716018,2017-02-21,2017-02-28
"559",15719937,2017-02-21,2017-02-28
"560",15732105,2017-02-22,2017-03-01
"561",15737687,2017-02-23,2017-03-02
"562",15741494,2017-02-23,2017-03-02
"563",15753755,2017-02-24,2017-03-03
"564",15790428,2017-02-27,2017-03-06
"565",15684324,2017-03-01,2017-03-08
"566",15832458,2017-03-02,2017-03-09
"567",15872454,2017-03-06,2017-03-13
"568",15877289,2017-03-06,2017-03-13
"569",15886479,2017-03-07,2017-03-14
"570",15889370,2017-03-07,2017-03-14
"571",15886979,2017-03-07,2017-03-14
"572",15871612,2017-03-09,2017-03-16
"573",16249575,2017-04-09,2017-04-16
"574",16253408,2017-04-10,2017-04-17
"575",16254561,2017-04-10,2017-04-17
"576",16265599,2017-04-11,2017-04-18
"577",16268191,2017-04-11,2017-04-18
"578",16301495,2017-04-15,2017-04-22
"579",16315842,2017-04-17,2017-04-24
"580",16323659,2017-04-18,2017-04-25
"581",16349312,2017-04-22,2017-04-29
"582",16361632,2017-04-23,2017-04-30
"583",16364049,2017-04-23,2017-04-30
"584",16364244,2017-04-23,2017-04-30
"585",16364404,2017-04-23,2017-04-30
"586",16372664,2017-04-24,2017-05-01
"587",16378728,2017-04-24,2017-05-01
"588",16384515,2017-04-25,2017-05-02
"589",16387794,2017-04-25,2017-05-02
"590",16394821,2017-04-26,2017-05-03
"591",16412016,2017-04-29,2017-05-06
"592",16414921,2017-04-29,2017-05-06
"593",16416892,2017-04-29,2017-05-06
"594",16417714,2017-04-29,2017-05-06
"595",16421286,2017-04-29,2017-05-06
"596",16421904,2017-04-29,2017-05-06
"597",16422637,2017-04-29,2017-05-06
"598",16422908,2017-04-29,2017-05-06
"599",16424852,2017-04-29,2017-05-06
"600",16424893,2017-04-29,2017-05-06
"601",16425167,2017-04-29,2017-05-06
"602",16425905,2017-04-29,2017-05-06
"603",16427687,2017-04-29,2017-05-06
"604",16429136,2017-04-29,2017-05-06
"605",16432291,2017-04-30,2017-05-07
"606",16442642,2017-04-30,2017-05-07
"607",16443354,2017-05-01,2017-05-08
"608",16456100,2017-05-02,2017-05-09
"609",16467885,2017-05-04,2017-05-11
"610",16483383,2017-05-06,2017-05-13
"611",16489922,2017-05-07,2017-05-14
"612",16495531,2017-05-07,2017-05-14
"613",16501454,2017-05-08,2017-05-15
"614",16547103,2017-05-13,2017-05-20
"615",16547467,2017-05-13,2017-05-20
"616",16580903,2017-05-17,2017-05-24
"617",16584966,2017-05-18,2017-06-17
"618",10322942,2017-05-19,2017-06-18
"619",16605658,2017-05-20,2017-06-19
"620",16617637,2017-05-20,2017-06-19
"621",16618287,2017-05-20,2017-06-19
"622",16619142,2017-05-21,2017-06-20
"623",16619344,2017-05-21,2017-06-20
"624",16619403,2017-05-21,2017-06-20
"625",16619444,2017-05-21,2017-06-20
"626",16619530,2017-05-21,2017-06-20
"627",16625867,2017-05-21,2017-06-20
"628",16626993,2017-05-21,2017-06-20
"629",16624274,2017-05-21,2017-06-20
"630",16628690,2017-05-21,2017-06-20
"631",16629308,2017-05-21,2017-06-20
"632",16632605,2017-05-21,2017-06-20
"633",16633786,2017-05-21,2017-06-20
"634",16626864,2017-05-21,2017-06-20
"635",16635234,2017-05-21,2017-06-20
"636",16638202,2017-05-21,2017-06-20
